,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
15,Bangladesh,21767854.0,15898019.0,5869835.0,13.22,9.65,3.56,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
16,Barbados,188324.0,101228.0,87096.0,65.53,35.23,30.31,Oxford/AstraZeneca
17,Belarus,2684863.0,1496227.0,1188636.0,28.41,15.83,12.58,"Sinopharm/Beijing, Sputnik V"
18,Belgium,15688921.0,8312487.0,7721507.0,135.37,71.72,66.62,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
19,Belize,212380.0,150181.0,62199.0,53.41,37.77,15.64,"Oxford/AstraZeneca, Sinopharm/Beijing"
20,Benin,72999.0,50751.0,22248.0,0.6,0.42,0.18,"Oxford/AstraZeneca, Sinovac"
21,Bermuda,83297.0,42074.0,41223.0,133.76,67.56,66.2,"Oxford/AstraZeneca, Pfizer/BioNTech"
22,Bhutan,1035510.0,560963.0,474547.0,134.2,72.7,61.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
23,Bolivia,5154253.0,3012437.0,2141816.0,44.16,25.81,18.35,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
24,Bonaire Sint Eustatius and Saba,7391.0,5726.0,1665.0,28.19,21.84,6.35,"Moderna, Pfizer/BioNTech"
25,Bosnia and Herzegovina,865306.0,537608.0,327698.0,26.37,16.39,9.99,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
26,Botswana,408023.0,246501.0,161522.0,17.35,10.48,6.87,Oxford/AstraZeneca
27,Brazil,168157560.0,121838235.0,51152090.0,79.11,57.32,24.06,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
28,British Virgin Islands,29172.0,16739.0,11438.0,96.48,55.36,37.83,"Johnson&Johnson, Oxford/AstraZeneca"
29,Brunei,230324.0,171283.0,59041.0,52.65,39.15,13.5,"Oxford/AstraZeneca, Sinopharm/Beijing"
30,Bulgaria,2188957.0,1089066.0,1094904.0,31.5,15.67,15.76,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
31,Burkina Faso,71510.0,53814.0,17696.0,0.34,0.26,0.08,Oxford/AstraZeneca
32,Cambodia,16514969.0,9272769.0,7577698.0,98.78,55.46,45.32,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
33,Cameroon,395212.0,327127.0,68085.0,1.49,1.23,0.26,"Oxford/AstraZeneca, Sinopharm/Beijing"
34,Canada,51936190.0,27495708.0,24440482.0,137.61,72.85,64.76,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
35,Cape Verde,236976.0,198982.0,37994.0,42.62,35.79,6.83,"Oxford/AstraZeneca, Pfizer/BioNTech"
36,Cayman Islands,99635.0,50884.0,48751.0,151.61,77.43,74.18,"Oxford/AstraZeneca, Pfizer/BioNTech"
37,Central African Republic,95862.0,82083.0,13779.0,1.98,1.7,0.29,"Covaxin, Oxford/AstraZeneca"
38,Chad,40649.0,29786.0,10863.0,0.25,0.18,0.07,Sinopharm/Beijing
39,Chile,26785123.0,14246757.0,13048158.0,140.12,74.53,68.26,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
40,China,1900127000.0,622000000.0,777046000.0,132.02,43.21,53.99,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
